RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Trevor Lawrence (JAC),24.0,32.0,75.0,262.0,8.2,2.0,0.0,1.0,5.0,17.0,2.0,0.0,1.0,32.2,32.2,89.5%,11.0
2,Brock Purdy (SF),21.0,25.0,84.0,333.0,13.3,3.0,0.0,4.0,4.0,14.0,0.0,0.0,1.0,26.7,26.7,86.4%,11.0
3,Justin Herbert (LAC),21.0,36.0,58.3,260.0,7.2,2.0,0.0,2.0,8.0,73.0,0.0,0.0,1.0,25.7,25.7,98.8%,11.0
4,Lamar Jackson (BAL),16.0,26.0,61.5,264.0,10.2,2.0,0.0,3.0,9.0,54.0,0.0,0.0,1.0,24.0,24.0,99.8%,11.0
5,Josh Allen (BUF),20.0,32.0,62.5,275.0,8.6,3.0,1.0,1.0,5.0,15.0,0.0,0.0,1.0,23.5,23.5,100.0%,11.0
6,Kyler Murray (ARI),20.0,30.0,66.7,214.0,7.1,1.0,1.0,3.0,7.0,51.0,1.0,0.0,1.0,22.7,22.7,73.3%,11.0
7,Tommy DeVito (NYG),18.0,26.0,69.2,246.0,9.5,3.0,0.0,9.0,1.0,7.0,0.0,0.0,1.0,22.5,22.5,3.2%,11.0
8,Justin Fields (CHI),16.0,23.0,69.6,169.0,7.3,1.0,0.0,2.0,18.0,104.0,0.0,0.0,1.0,21.2,21.2,87.7%,11.0
9,Jordan Love (GB),27.0,40.0,67.5,322.0,8.1,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,20.9,20.9,48.7%,11.0
10,Sam Howell (WAS),31.0,45.0,68.9,256.0,5.7,1.0,3.0,4.0,3.0,35.0,1.0,0.0,1.0,20.7,20.7,75.6%,11.0
11,Jalen Hurts (PHI),14.0,22.0,63.6,150.0,6.8,0.0,1.0,5.0,12.0,29.0,2.0,0.0,1.0,19.9,19.9,100.0%,11.0
12,Tua Tagovailoa (MIA),28.0,39.0,71.8,325.0,8.3,2.0,1.0,1.0,2.0,6.0,0.0,1.0,1.0,18.6,18.6,96.8%,11.0
13,C.J. Stroud (HOU),27.0,37.0,73.0,336.0,9.1,2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,18.3,18.3,93.3%,11.0
14,Patrick Mahomes II (KC),24.0,43.0,55.8,177.0,4.1,2.0,1.0,1.0,6.0,38.0,0.0,0.0,1.0,17.9,17.9,100.0%,11.0
15,Joshua Dobbs (MIN),20.0,32.0,62.5,221.0,6.9,1.0,1.0,2.0,8.0,21.0,1.0,1.0,1.0,17.9,17.9,67.9%,11.0
16,Jared Goff (DET),23.0,35.0,65.7,236.0,6.7,2.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,16.7,16.7,83.7%,11.0
17,Dak Prescott (DAL),25.0,38.0,65.8,189.0,5.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,16.2,16.2,96.3%,11.0
18,Russell Wilson (DEN),27.0,35.0,77.1,259.0,7.4,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,14.5,14.5,56.2%,11.0
19,Geno Smith (SEA),22.0,34.0,64.7,233.0,6.9,1.0,0.0,2.0,1.0,-1.0,0.0,0.0,1.0,13.2,13.2,65.1%,11.0
20,Will Levis (TEN),13.0,17.0,76.5,158.0,9.3,2.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,12.5,12.5,24.4%,11.0
21,Aidan O'Connell (LV),24.0,41.0,58.5,271.0,6.6,1.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,12.1,12.1,3.8%,11.0
22,Baker Mayfield (TB),29.0,45.0,64.4,246.0,5.5,1.0,1.0,4.0,3.0,5.0,0.0,1.0,1.0,11.3,11.3,51.1%,11.0
23,Matthew Stafford (LAR),17.0,31.0,54.8,190.0,6.1,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,10.7,10.7,39.7%,11.0
24,Jake Browning (CIN),8.0,14.0,57.1,68.0,4.9,1.0,0.0,3.0,4.0,40.0,0.0,0.0,1.0,10.7,10.7,5.0%,11.0
25,Joe Burrow (CIN),11.0,17.0,64.7,101.0,5.9,1.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,8.7,8.7,65.9%,11.0
26,Zach Wilson (NYJ),7.0,15.0,46.7,81.0,5.4,1.0,1.0,5.0,4.0,15.0,0.0,0.0,1.0,7.7,7.7,5.7%,11.0
27,Dorian Thompson-Robinson (CLE),24.0,43.0,55.8,165.0,3.8,0.0,1.0,1.0,3.0,20.0,0.0,0.0,1.0,7.6,7.6,4.2%,11.0
28,Bryce Young (CAR),16.0,29.0,55.2,123.0,4.2,1.0,1.0,7.0,2.0,3.0,0.0,1.0,1.0,6.2,6.2,13.3%,11.0
29,Kenny Pickett (PIT),15.0,28.0,53.6,106.0,3.8,0.0,0.0,3.0,4.0,9.0,0.0,0.0,1.0,5.1,5.1,15.9%,11.0
30,Tim Boyle (NYJ),7.0,14.0,50.0,33.0,2.4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.4,0.4,0.7%,11.0
31,Cooper Rush (DAL),2.0,3.0,66.7,15.0,5.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,1.0,0.3,0.3,0.1%,11.0
32,Davis Mills (HOU),1.0,1.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0%,11.0
33,Shane Buechele (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
34,Jarrett Stidham (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
35,Gardner Minshew II (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9%,11.0
36,David Blough (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
37,Sam Ehlinger (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
38,Jacob Eason (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,11.0
39,Kyle Trask (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
40,Ben DiNucci (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
41,Jake Fromm (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
42,Jake Luton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
43,Tyler Huntley (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
44,Sean Clifford (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
45,Kellen Mond (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
46,Desmond Ridder (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3%,11.0
47,Feleipe Franks (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
48,Mac Jones (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9%,11.0
49,Trey Lance (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,11.0
50,Aaron Rodgers (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,11.0
51,Chris Oladokun (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
52,Jake Haener (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
53,Tanner McKee (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
54,Hendon Hooker (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
55,Anthony Richardson (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7%,11.0
56,Drew Plitt (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
57,Tyson Bagent (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0%,11.0
58,Clayton Tune (ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,11.0
59,Nathan Rourke (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
60,Cephus Johnson III (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
61,Malik Cunningham (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
62,Jaren Hall (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8%,11.0
63,Stetson Bennett (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
64,Bailey Zappe (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,11.0
65,Skylar Thompson (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
66,Max Duggan (LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
67,Malik Willis (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
68,Brett Rypien (SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,11.0
69,Blaine Gabbert (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
70,Andy Dalton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
71,Tyrod Taylor (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8%,11.0
72,Erik Ainge (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
73,Hunter Cantwell (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
74,Ben Chappell (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
75,Adam Froman (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
76,Ryan Tannehill (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8%,11.0
77,Case Keenum (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
78,Kirk Cousins (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6%,11.0
79,Joe Flacco (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
80,Josh Johnson (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
81,Brett Ratliff (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
82,Brian Hoyer (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
83,Nick Mullens (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
84,C.J. Beathard (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,11.0
85,P.J. Walker (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,11.0
86,Nathan Peterman (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
87,Nate Sudfeld (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
88,Deshaun Watson (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2%,11.0
89,Mitch Trubisky (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
90,Mason Rudolph (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
91,John Wolford (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
92,Daniel Jones (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4%,11.0
93,Will Grier (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
94,Easton Stick (LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
95,Mike White (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
96,Sam Darnold (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,11.0
97,Logan Woodside (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
98,Alex McGough (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
99,Brandon Allen (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
100,Matt Barkley (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
101,Teddy Bridgewater (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
102,AJ McCarron (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
103,Derek Carr (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7%,11.0
104,Jimmy Garoppolo (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6%,11.0
105,Brett Smith (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
106,Carson Wentz (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,11.0
107,Jeff Driskel (ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
108,Jacoby Brissett (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
109,Trevor Siemian (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
110,Marcus Mariota (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
111,Jameis Winston (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,11.0
112,Sean Mannion (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
113,Taylor Heinicke (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7%,11.0
114,Kyle Allen (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,-0.2,-0.2,0.1%,11.0
115,Drew Lock (SEA),2.0,6.0,33.3,3.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9,-0.9,0.1%,11.0
